# z strain profile [mm, 1e-3]: z, e_11, e_22, e_33 , e_23, e_13, e_12, px,	py,	pz
0	0	0	0	0	0	0	0	0	0
0.040404	-0.000745445	-0.000745445	0.00057979	0	0	0	0	0	0
0.0808081	-0.00146149	-0.00146149	0.00113672	0	0	0	0	0	0
0.121212	-0.00211874	-0.00211874	0.00164791	0	0	0	0	0	0
0.161616	-0.0026878	-0.0026878	0.00209051	0	0	0	0	0	0
0.20202	-0.00313926	-0.00313926	0.00244165	0	0	0	0	0	0
0.242424	-0.00344373	-0.00344373	0.00267846	0	0	0	0	0	0
0.282828	-0.00357181	-0.00357181	0.00277807	0	0	0	0	0	0
0.323232	-0.0034941	-0.0034941	0.00271764	0	0	0	0	0	0
0.363636	-0.00318121	-0.00318121	0.00247428	0	0	0	0	0	0
0.40404	-0.00260374	-0.00260374	0.00202513	0	0	0	0	0	0
0.444444	-0.00173228	-0.00173228	0.00134733	0	0	0	0	0	0
0.484848	-0.000537437	-0.000537437	0.000418006	0	0	0	0	0	0
0.525253	0.00100722	0.00100722	-0.000783394	0	0	0	0	0	0
0.565657	0.00288793	0.00288793	-0.00224617	0	0	0	0	0	0
0.606061	0.00506196	0.00506196	-0.00393708	0	0	0	0	0	0
0.646465	0.00748593	0.00748593	-0.00582239	0	0	0	0	0	0
0.686869	0.0101165	0.0101165	-0.00786837	0	0	0	0	0	0
0.727273	0.0129102	0.0129102	-0.0100413	0	0	0	0	0	0
0.767677	0.0158237	0.0158237	-0.0123074	0	0	0	0	0	0
0.808081	0.0188137	0.0188137	-0.0146329	0	0	0	0	0	0
0.848485	0.0218368	0.0218368	-0.0169842	0	0	0	0	0	0
0.888889	0.0248495	0.0248495	-0.0193274	0	0	0	0	0	0
0.929293	0.0278086	0.0278086	-0.0216289	0	0	0	0	0	0
0.969697	0.0306706	0.0306706	-0.0238549	0	0	0	0	0	0
1.0101	0.0333923	0.0333923	-0.0259718	0	0	0	0	0	0
1.05051	0.0359572	0.0359572	-0.0279667	0	0	0	0	0	0
1.09091	0.0383996	0.0383996	-0.0298664	0	0	0	0	0	0
1.13131	0.0407602	0.0407602	-0.0317024	0	0	0	0	0	0
1.17172	0.0430794	0.0430794	-0.0335062	0	0	0	0	0	0
1.21212	0.0453977	0.0453977	-0.0353094	0	0	0	0	0	0
1.25253	0.0477557	0.0477557	-0.0371433	0	0	0	0	0	0
1.29293	0.0501936	0.0501936	-0.0390395	0	0	0	0	0	0
1.33333	0.0527522	0.0527522	-0.0410295	0	0	0	0	0	0
1.37374	0.0554718	0.0554718	-0.0431448	0	0	0	0	0	0
1.41414	0.058393	0.058393	-0.0454168	0	0	0	0	0	0
1.45455	0.0615562	0.0615562	-0.0478771	0	0	0	0	0	0
1.49495	0.0650019	0.0650019	-0.0505571	0	0	0	0	0	0
1.53535	0.0687795	0.0687795	-0.0534952	0	0	0	0	0	0
1.57576	0.07299	0.07299	-0.05677	0	0	0	0	0	0
1.61616	0.0777531	0.0777531	-0.0604746	0	0	0	0	0	0
1.65657	0.0831884	0.0831884	-0.0647021	0	0	0	0	0	0
1.69697	0.0894159	0.0894159	-0.0695457	0	0	0	0	0	0
1.73737	0.0965551	0.0965551	-0.0750984	0	0	0	0	0	0
1.77778	0.104726	0.104726	-0.0814534	0	0	0	0	0	0
1.81818	0.114048	0.114048	-0.0887039	0	0	0	0	0	0
1.85859	0.124641	0.124641	-0.0969429	0	0	0	0	0	0
1.89899	0.136625	0.136625	-0.106264	0	0	0	0	0	0
1.93939	0.150119	0.150119	-0.116759	0	0	0	0	0	0
1.9798	0.165244	0.165244	-0.128523	0	0	0	0	0	0
2.0202	0.182109	0.182109	-0.14164	0	0	0	0	0	0
2.06061	0.200621	0.200621	-0.156038	0	0	0	0	0	0
2.10101	0.220477	0.220477	-0.171482	0	0	0	0	0	0
2.14141	0.24137	0.24137	-0.187732	0	0	0	0	0	0
2.18182	0.262988	0.262988	-0.204546	0	0	0	0	0	0
2.22222	0.285022	0.285022	-0.221684	0	0	0	0	0	0
2.26263	0.307163	0.307163	-0.238905	0	0	0	0	0	0
2.30303	0.3291	0.3291	-0.255967	0	0	0	0	0	0
2.34343	0.350525	0.350525	-0.27263	0	0	0	0	0	0
2.38384	0.371126	0.371126	-0.288654	0	0	0	0	0	0
2.42424	0.390596	0.390596	-0.303797	0	0	0	0	0	0
2.46465	0.408623	0.408623	-0.317818	0	0	0	0	0	0
2.50505	0.424898	0.424898	-0.330476	0	0	0	0	0	0
2.54545	0.439111	0.439111	-0.341531	0	0	0	0	0	0
2.58586	0.450953	0.450953	-0.350742	0	0	0	0	0	0
2.62626	0.460115	0.460115	-0.357867	0	0	0	0	0	0
2.66667	0.466285	0.466285	-0.362666	0	0	0	0	0	0
2.70707	0.469155	0.469155	-0.364898	0	0	0	0	0	0
2.74747	0.468415	0.468415	-0.364322	0	0	0	0	0	0
2.78788	0.463754	0.463754	-0.360698	0	0	0	0	0	0
2.82828	0.454865	0.454865	-0.353784	0	0	0	0	0	0
2.86869	0.441436	0.441436	-0.343339	0	0	0	0	0	0
2.90909	0.423157	0.423157	-0.329122	0	0	0	0	0	0
2.94949	0.399721	0.399721	-0.310894	0	0	0	0	0	0
2.9899	0.370815	0.370815	-0.288412	0	0	0	0	0	0
3.0303	0.336132	0.336132	-0.261436	0	0	0	0	0	0
3.07071	0.29536	0.29536	-0.229725	0	0	0	0	0	0
3.11111	0.24819	0.24819	-0.193037	0	0	0	0	0	0
3.15152	0.194186	0.194186	-0.151034	0	0	0	0	0	0
