-6.591	37.94997	1.74715
-6.39193	65.186	2.16632
-6.19196	109.18135	2.72134
-5.991	164.27107	3.22297
-5.791	236.77994	2.21327
-5.592	328.54155	6.2246
-5.392	418.67398	6.97037
-5.192	503.65494	7.61893
-4.991	600.65611	8.28439
-4.79141	672.77363	8.80336
-4.59	720.81229	9.08892
-4.391	743.21152	9.18057
-4.191	759.24378	9.37609
-3.992	754.85311	9.34125
-3.792	724.54305	9.16714
-3.289	635.85458	8.66937
-2.792	536.50997	8.07435
-2.28896	467.20935	7.5147
-1.791	392.96197	6.91365
-1.289	332.61804	6.41112
-0.791	290.628	6.08714
-0.29	235.48256	5.48108
0.209	209.89848	5.17043
0.711	172.19369	4.75136
1.20904	146.9091	4.51617
1.41	146.30049	4.39268
1.609	138.25525	4.29138
1.809	125.7164	4.16574
2.008	122.28569	4.03779
2.209	110.77958	3.8769
2.409	106.10627	3.77995
2.6081	94.74788	3.71399
2.809	98.47492	3.81479
3.008	83.22849	3.42368
3.20703	73.99994	3.25711
3.408	72.53781	3.26144
3.609	67.53142	3.091
3.809	55.46946	2.55142
4.009	48.42887	2.39008
4.21	43.10227	2.55759
4.408	39.71286	1.79655
4.608	31.53683	1.65
4.808	26.24608	1.55295
5.008	18.93757	1.44947
5.21	13.3299	1.3584
5.409	7.23952	0.94797
5.609	41.77101	101.99583
5.80808	4.83443E-4	-3.23561
6.008	18.89696	8.04448
