-6	72.31363	1.54352
-5.8	118.6864	3.27098
-5.6	180.2271	3.84661
-5.4	256.1153	6.30475
-5.2	336.6274	8.41988
-5	416.8192	9.03571
-4.8	499.0746	10.94569
-4.6	552.6616	19.31762
-4.4	608.3276	15.14234
-4.2	628.6608	22.37756
-4	630.9099	20.07502
-3.8	625.1021	20.99419
-3.6	608.6268	18.71606
-3.4	573.0203	12.40028
-3.2	540.9356	18.49069
-3	502.5646	12.26074
-2.8	466.0379	12.2391
-2.6	440.6821	9.52396
-2.4	413.967	12.39016
-2.2	382.9327	5.36674
-2	353.6792	6.44534
-1.8	331.1147	13.32629
-1.6	304.3468	5.27638
-1.4	281.9447	4.50432
-1.2	268.3348	5.79678
-1	246.8466	5.38617
-0.8	229.0202	5.12175
-0.6	211.5556	3.96594
-0.4	199.634	6.0391
-0.2	185.0888	5.30496
8.9407E-8	175.1139	6.27052
0.2	159.8292	5.2171
0.4	152.7286	4.88636
0.6	137.5878	3.39053
0.8	127.0096	2.96041
1	120.2864	4.06661
1.2	109.0766	4.29663
1.4	104.4401	2.70249
1.6	97.05927	3.82552
1.8	90.68474	3.25302
2	84.35691	2.76938
2.2	78.01649	2.66652
2.4	71.77888	1.79951
2.6	66.4651	1.8194
2.8	62.62424	1.55062
3	59.0716	1.56836
3.2	53.50785	1.74422
3.4	51.5879	1.68089
3.6	45.71603	1.19892
3.8	43.20664	1.04241
4	38.64024	0.90894
4.2	34.00017	0.98762
4.4	29.79923	0.85937
4.6	25.81227	0.93142
4.8	21.73673	0.58223
5	16.70031	0.50182
5.2	12.95063	0.40991
5.4	9.44616	0.28646
5.6	6.30184	0.181
5.8	3.98748	0.13585
6	2.31398	0.09152
