-6	545.62371	38.30278
-5.8	483.46405	17.98965
-5.6	427.71768	25.81104
-5.4	339.4115	37.6701
-5.2	284.15846	34.27956
-5	221.01214	30.92765
-4.8	145.53255	21.97879
-4.6	142.57256	34.86376
-4.4	60.67967	23.26666
-4.2	18.74657	35.21833
-4	10.85327	56.20575
-3.8	-15.29325	43.88456
-3.6	-24.66653	43.25059
-3.4	-38.47979	25.35336
-3.2	-56.2397	38.00835
-3	-70.54628	28.47829
-2.8	-69.55962	27.80977
-2.6	-54.26637	34.5832
-2.4	-64.13299	36.03268
-2.2	-61.173	28.33319
-2	-60.67967	27.63601
-1.8	-51.79972	32.28325
-1.6	-61.66633	44.72854
-1.4	-55.74636	19.55181
-1.2	-57.22636	22.58757
-1	-61.66633	33.35361
-0.8	-68.07963	52.68446
-0.6	-38.47979	40.40567
-0.4	-80.4129	31.40905
-0.2	-46.86641	30.79069
8.9407E-8	-79.42624	32.59667
0.2	-70.05295	27.17435
0.4	-80.90623	40.6493
0.6	-53.77304	26.38102
0.8	-55.25303	29.14773
1	-55.74636	37.58511
1.2	-15.29325	38.82101
1.4	-62.65299	22.89011
1.6	-67.09297	37.77263
1.8	-78.43958	36.1201
2	-70.05295	29.20457
2.2	-56.2397	39.03115
2.4	-56.73303	38.77088
2.6	-59.69301	31.27272
2.8	-60.18634	34.37768
3	-78.43958	34.09697
3.2	-54.26637	48.15735
3.4	-76.46625	26.57698
3.6	-65.61298	23.55428
3.8	-75.47959	28.40084
4	-90.27951	29.21692
4.2	-96.19948	42.4974
4.4	-137.63925	20.35648
4.6	-152.93251	22.56183
4.8	-209.1722	24.76431
5	-261.46525	28.61897
5.2	-316.22495	35.43005
5.4	-369.01134	45.06753
5.6	-419.82439	36.88906
5.8	-480.9974	39.89278
6	-499.25063	35.21591
