-6	220.51881	27.57409
-5.8	193.87895	31.99671
-5.6	168.71909	40.50253
-5.4	122.346	27.54949
-5.2	112.97272	34.86198
-5	97.18614	39.39586
-4.8	73.01294	34.93267
-4.6	57.71969	48.79874
-4.4	45.38642	43.80607
-4.2	35.02648	42.57195
-4	12.33327	50.2255
-3.8	29.10651	31.64319
-3.6	5.91997	34.09813
-3.4	-1.97332	25.26365
-3.2	-9.37328	30.47245
-3	16.27991	40.7046
-2.8	12.8266	41.90808
-2.6	-9.37328	50.91459
-2.4	22.69321	48.2466
-2.2	19.2399	39.10994
-2	12.8266	53.47152
-1.8	-1.47999	32.22814
-1.6	-0.98666	34.51739
-1.4	26.63986	40.56959
-1.2	-5.91997	37.9775
-1	-4.43998	35.70947
-0.8	3.94665	28.22541
-0.6	-1.47999	37.05564
-0.4	-3.45331	32.80415
-0.2	-9.86661	25.68125
8.9407E-8	27.13319	29.52803
0.2	-18.74657	27.5807
0.4	22.19988	33.28528
0.6	9.37328	42.59622
0.8	-7.89329	52.22132
1	-6.4133	30.74229
1.2	1.97332	29.06511
1.4	7.89329	37.79989
1.6	11.83994	26.7395
1.8	17.26657	20.65202
2	4.93331	34.1135
2.2	2.46665	31.11195
2.4	17.7599	38.1052
2.6	16.27991	39.98312
2.8	-1.47999	42.81634
3	4.43998	43.70244
3.2	27.13319	35.90127
3.4	3.94665	33.74434
3.6	-1.47999	27.51905
3.8	5.42664	25.72942
4	-8.38662	33.22689
4.2	-39.95978	38.27068
4.4	-32.55982	43.52739
4.6	-34.53315	28.89035
4.8	-58.70635	42.08954
5	-103.10611	37.87081
5.2	-114.45271	27.52557
5.4	-149.47919	30.49419
5.6	-148.98586	33.2794
5.8	-199.30559	38.97551
6	-233.83873	32.30862
