# Header: wavelength	mu
1.59	1.06618294164954
1.6	1.0753711027461
1.61	1.0846377628385
1.62	1.09398245392982
1.63	1.10340472054713
1.64	1.11290411935552
1.65	1.12248021878517
1.66	1.08658404274627
1.67	1.09576186325363
1.68	1.10501185083249
1.69	1.11433361749217
1.7	1.12372678532429
1.71	1.1331909861996
1.72	1.14272586147489
1.73	1.15233106170968
1.74	1.16200624639248
1.75	1.17175108367601
1.76	1.18156525012138
1.77	1.19144843045058
1.78	1.20140031730724
1.79	1.21142061102519
1.8	1.2215090194047
1.81	1.23166525749597
1.82	1.05405617534497
1.83	1.06227747787714
1.84	1.07055445551562
1.85	1.0788868502829
1.86	1.08727441046993
1.87	1.09571689045841
1.88	1.10421405054883
1.89	1.11276565679384
1.9	1.12137148083705
1.91	1.1300312997569
1.92	1.13874489591545
1.93	1.14751205681192
1.94	1.15633257494087
1.95	1.16520624765476
1.96	1.17413287703086
1.97	1.18311226974224
1.98	1.19214423693277
1.99	1.201228594096
2	1.21036516095773
2.01	1.21955376136221
2.02	1.22879422316181
2.03	1.10172090654712
2.04	1.10971777889329
2.05	1.11775940094935
2.06	1.12584561556228
2.07	1.13397626908368
2.08	1.14215121127798
2.09	1.15037029523337
2.1	1.15863337727541
2.11	1.16694031688317
2.12	1.17529097660782
2.13	1.18368522199372
2.14	1.19212292150168
2.15	1.20060394643459
2.16	1.20912817086513
2.17	1.21769547156563
2.18	1.22630572793993
2.19	1.23495882195721
2.2	1.24365463808774
2.21	1.25239306324044
2.22	1.26117398670222
2.23	1.2699973000791
2.24	1.27886289723892
2.25	1.28777067425571
2.26	1.29672052935566
2.27	1.3057123628645
2.28	1.31474607715648
2.29	1.32382157660467
2.3	1.33293876753268
2.31	1.34209755816773
2.32	1.35129785859498
2.33	1.36053958071316
2.34	0.93300322564724
2.35	0.93858605706784
2.36	0.944194101205817
2.37	0.94982727679386
2.38	0.955485504173726
2.39	0.961168705258598
2.4	0.966876803496459
2.41	0.972609723834443
2.42	0.978367392684133
2.43	0.984149737887786
2.44	0.98995668868545
2.45	0.99578817568295
2.46	1.00164413082071
2.47	1.00752448734341
2.48	1.0134291797704
2.49	1.01935814386692
2.5	1.02531131661608
2.51	1.03128863619148
2.52	1.03729004193065
2.53	1.04331547430908
2.54	1.04936487491499
2.55	1.05543818642466
2.56	1.06153535257847
2.57	1.06765631815751
2.58	1.07380102896075
2.59	1.07996943178286
2.6	1.08616147439253
2.61	1.09237710551133
2.62	1.09861627479315
2.63	1.10487893280408
2.64	1.11116503100287
2.65	1.11747452172178
2.66	1.12380735814798
2.67	1.13016349430538
2.68	1.1365428850369
2.69	1.14294548598714
2.7	1.14937125358556
2.71	1.15582014502999
2.72	1.16229211827055
2.73	1.16878713199397
2.74	1.17530514560834
2.75	1.18184611922807
2.76	1.18841001365943
2.77	1.19499679038621
2.78	1.20160641155588
2.79	1.20823883996603
2.8	1.21489403905108
2.81	1.22157197286937
2.82	1.22827260609052
2.83	1.2349959039831
2.84	1.24174183240258
2.85	1.24851035777952
2.86	1.25530144710812
2.87	1.05208660398474
2.88	1.0574565615602
2.89	1.06284388764374
2.9	1.06824855137423
2.91	1.07367052240053
2.92	1.07910977087143
2.93	1.08456626742592
2.94	1.09003998318357
2.95	1.09553088973526
2.96	1.10103895913399
2.97	1.10656416388595
2.98	1.11210647694181
2.99	1.1176658716882
3	1.12324232193929
3.01	1.12883580192871
3.02	1.13444628630152
3.03	1.1400737501064
3.04	1.14571816878805
3.05	1.15137951817966
3.06	1.15705777449567
3.07	1.16275291432458
3.08	1.16846491462195
3.09	1.1741937527036
3.1	1.17993940623886
3.11	1.18570185324407
3.12	1.19148107207613
3.13	1.19727704142625
3.14	1.20308974031381
3.15	1.20891914808031
3.16	1.21476524438356
3.17	1.22062800919184
3.18	1.22650742277833
3.19	1.23240346571554
3.2	1.23831611886995
3.21	1.24424536339668
3.22	1.25019118073433
3.23	1.25615355259992
3.24	1.26213246098388
3.25	1.26812788814523
3.26	1.27413981660678
3.27	1.28016822915048
3.28	1.28621310881285
3.29	1.29227443888048
3.3	1.29835220288567
3.31	1.30444638460212
3.32	1.31055696804069
3.33	1.31668393744533
3.34	1.32282727728899
3.35	1.32898697226969
3.36	1.33516300730658
3.37	1.34135536753622
3.38	1.34756403830878
3.39	1.35378900518441
3.4	1.36003025392967
3.41	1.36628777051397
3.42	1.37256154110618
3.43	1.37885155207125
3.44	1.38515778996686
3.45	1.39148024154019
3.46	1.39781889372477
3.47	1.40417373363733
3.48	1.41054474857473
3.49	1.41693192601101
3.5	1.42333525359438
3.51	1.42975471914438
3.52	1.43619031064906
3.53	1.44264201626215
3.54	1.44910982430038
3.55	1.45559372324081
3.56	1.46209370171817
3.57	1.46860974852233
3.58	1.47514185259578
3.59	1.48169000303109
3.6	1.48825418906857
3.61	1.49483440009383
3.62	1.50143062563546
3.63	1.50804285536272
3.64	1.51467107908332
3.65	1.52131528674116
3.66	1.52797546841421
3.67	1.53465161431235
3.68	1.5413437147753
3.69	1.54805176027055
3.7	1.55477574139134
3.71	1.56151564885471
3.72	1.56827147349954
3.73	1.57504320628464
3.74	1.58183083828689
3.75	1.5886343606994
3.76	1.59545376482969
3.77	1.60228904209795
3.78	1.60914018403524
3.79	1.61600718228187
3.8	1.62289002858563
3.81	1.62978871480021
3.82	1.63670323288353
3.83	1.64363357489619
3.84	1.65057973299988
3.85	1.65754169945585
3.86	1.66451946662341
3.87	1.67151302695845
3.88	1.67852237301196
3.89	1.68554749742865
3.9	1.69258839294547
3.91	1.69964505239031
3.92	1.70671746868059
3.93	1.71380563482193
3.94	1.72090954390687
3.95	1.72802918911355
3.96	1.73516456370447
3.97	1.74231566102521
3.98	1.74948247450326
3.99	1.75666499764678
4	1.7638632240434
4.01	1.77107714735913
4.02	1.77830676133715
4.03	1.7855520597967
4.04	1.79281303663202
4.05	1.8000896858112
4.06	0.566387285783057
4.07	0.567574458720346
4.08	0.568762229012289
4.09	0.569950590912038
4.1	0.571139538741469
4.11	0.572329066890203
4.12	0.573519169814643
4.13	0.57470984203702
4.14	0.575901078144468
4.15	0.577092872788098
4.16	0.578285220682104
4.17	0.579478116602869
4.18	0.580671555388091
4.19	0.581865531935932
4.2	0.583060041204163
4.21	0.58425507820934
4.22	0.585450638025982
4.23	0.586646715785767
4.24	0.587843306676744
4.25	0.589040405942547
4.26	0.590238008881634
4.27	0.591436110846531
4.28	0.59263470724309
4.29	0.593833793529759
4.3	0.59503336521686
4.31	0.596233417865888
4.32	0.597433947088809
4.33	0.598634948547376
4.34	0.599836417952457
4.35	0.60103835106337
4.36	0.602240743687227
4.37	0.603443591678296
4.38	0.604646890937363
4.39	0.605850637411112
4.4	0.607054827091509
4.41	0.608259456015199
4.42	0.609464520262914
4.43	0.610670015958881
4.44	0.611875939270253
4.45	0.613082286406536
4.46	0.614289053619033
4.47	0.615496237200292
4.48	0.616703833483565
4.49	0.617911838842273
4.5	0.619120249689484
4.51	0.620329062477391
4.52	0.621538273696805
4.53	0.622747879876653
4.54	0.623957877583482
4.55	0.625168263420973
4.56	0.626379034029461
4.57	0.627590186085465
4.58	0.628801716301217
4.59	0.630013621424209
4.6	0.63122589823674
4.61	0.63243854355547
4.62	0.633651554230981
4.63	0.634864927147347
4.64	0.63607865922171
4.65	0.637292747403856
4.66	0.638507188675806
4.67	0.639721980051409
4.68	0.64093711857594
4.69	0.642152601325702
4.7	0.643368425407644
4.71	0.64458458795897
4.72	0.645801086146766
4.73	0.647017917167623
4.74	0.648235078247275
4.75	0.649452566640233
4.76	0.65067037962943
4.77	0.651888514525869
4.78	0.653106968668276
4.79	0.654325739422763
4.8	0.655544824182482
4.81	0.656764220367303
4.82	0.657983925423482
4.83	0.659203936823338
4.84	0.660424252064939
4.85	0.661644868671783
4.86	0.662865784192495
4.87	0.664086996200518
4.88	0.665308502293816
4.89	0.666530300094574
4.9	0.667752387248911
4.91	0.668974761426588
4.92	0.670197420320727
4.93	0.671420361647529
4.94	0.672643583146
4.95	0.673867082577677
4.96	0.675090857726362
4.97	0.676314906397854
4.98	0.677539226419694
4.99	0.678763815640898
5	0.679988671931714
5.01	0.681213793183364
5.02	0.682439177307801
5.03	0.683664822237461
5.04	0.684890725925031
5.05	0.686116886343201
5.06	0.687343301484442
5.07	0.688569969360765
5.08	0.689796888003501
5.09	0.691024055463073
5.1	0.692251469808775
