# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.776787
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Fe_sg225_Iron-gamma.ncmat
# wavelength[A]	sigma_tot[1/cm]
3.89	1.25619
3.9	1.26097
3.91	1.26576
3.92	1.27055
3.93	1.27536
3.94	1.28018
3.95	1.28501
3.96	1.28985
3.97	1.29471
3.98	1.29957
3.99	1.30444
4	1.30932
4.01	1.31421
4.02	1.31912
4.03	1.32403
4.04	1.32896
4.05	1.33389
4.06	1.33884
4.07	1.34379
4.08	1.34876
4.09	1.35373
4.1	1.35872
4.11	1.36371
4.12	1.36872
4.13	1.37374
4.14	1.37877
4.15	1.3838
4.16	1.38885
4.17	1.39391
4.18	1.39898
4.19	1.40406
4.2	1.40915
4.21	1.41425
4.22	1.41936
4.23	0.57788
4.24	0.579002
4.25	0.580126
4.26	0.58125
4.27	0.582375
4.28	0.583501
4.29	0.584627
4.3	0.585754
4.31	0.586882
4.32	0.588011
4.33	0.58914
4.34	0.59027
4.35	0.591401
4.36	0.592532
4.37	0.593664
4.38	0.594797
4.39	0.59593
4.4	0.597064
4.41	0.598199
4.42	0.599335
4.43	0.600471
4.44	0.601607
4.45	0.602745
4.46	0.603883
4.47	0.605021
4.48	0.60616
4.49	0.6073
4.5	0.608441
4.51	0.609582
4.52	0.610723
4.53	0.611866
4.54	0.613008
4.55	0.614152
4.56	0.615296
4.57	0.61644
4.58	0.617586
4.59	0.618731
4.6	0.619877
4.61	0.621024
4.62	0.622172
4.63	0.62332
4.64	0.624468
4.65	0.625617
4.66	0.626766
4.67	0.627916
4.68	0.629067
4.69	0.630218
4.7	0.63137
4.71	0.632522
4.72	0.633674
4.73	0.634827
4.74	0.635981
4.75	0.637135
4.76	0.63829
4.77	0.639445
4.78	0.6406
4.79	0.641756
4.8	0.642913
4.81	0.64407
4.82	0.645227
4.83	0.646385
4.84	0.647544
4.85	0.648702
4.86	0.649862
4.87	0.651021
4.88	0.652181
4.89	0.653342
4.9	0.654503
4.91	0.655665
4.92	0.656826
4.93	0.657989
4.94	0.659151
4.95	0.660315
4.96	0.661478
4.97	0.662642
4.98	0.663807
4.99	0.664971
5	0.666137
5.01	0.667302
5.02	0.668468
5.03	0.669634
5.04	0.670801
5.05	0.671968
5.06	0.673136
5.07	0.674304
5.08	0.675472
5.09	0.676641
5.1	0.67781
5.11	0.678979
5.12	0.680149
5.13	0.681319
5.14	0.68249
5.15	0.683661
5.16	0.684832
5.17	0.686004
5.18	0.687175
5.19	0.688348
5.2	0.68952
5.21	0.690693
5.22	0.691867
5.23	0.69304
5.24	0.694214
5.25	0.695389
5.26	0.696563
5.27	0.697738
5.28	0.698913
5.29	0.700089
5.3	0.701265
5.31	0.702441
5.32	0.703618
5.33	0.704795
5.34	0.705972
5.35	0.707149
5.36	0.708327
5.37	0.709505
5.38	0.710684
5.39	0.711862
5.4	0.713041
5.41	0.714221
5.42	0.7154
5.43	0.71658
5.44	0.71776
5.45	0.718941
5.46	0.720122
5.47	0.721303
5.48	0.722484
5.49	0.723666
5.5	0.724847
5.51	0.72603
