# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.940704
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Cu_sg225.ncmat
# wavelength[A]	sigma_tot[1/cm]
3.9	1.28948
3.91	1.29382
3.92	1.29816
3.93	1.30251
3.94	1.30687
3.95	1.31124
3.96	1.31561
3.97	1.31999
3.98	1.32438
3.99	1.32878
4	1.33318
4.01	1.33759
4.02	1.34201
4.03	1.34644
4.04	1.35087
4.05	1.35531
4.06	1.35976
4.07	1.36421
4.08	1.36868
4.09	1.37315
4.1	1.37762
4.11	1.38211
4.12	1.3866
4.13	1.3911
4.14	1.39561
4.15	1.40012
4.16	1.40464
4.17	1.40917
4.18	0.828263
4.19	0.830002
4.2	0.831742
4.21	0.833482
4.22	0.835223
4.23	0.836964
4.24	0.838706
4.25	0.840448
4.26	0.842191
4.27	0.843935
4.28	0.845679
4.29	0.847424
4.3	0.849169
4.31	0.850915
4.32	0.852661
4.33	0.854408
4.34	0.856156
4.35	0.857904
4.36	0.859652
4.37	0.861401
4.38	0.863151
4.39	0.864901
4.4	0.866651
4.41	0.868403
4.42	0.870154
4.43	0.871906
4.44	0.873659
4.45	0.875412
4.46	0.877165
4.47	0.878919
4.48	0.880674
4.49	0.882429
4.5	0.884184
4.51	0.88594
4.52	0.887696
4.53	0.889453
4.54	0.89121
4.55	0.892968
4.56	0.894726
4.57	0.896484
4.58	0.898243
4.59	0.900003
4.6	0.901763
4.61	0.903523
4.62	0.905284
4.63	0.907045
4.64	0.908806
4.65	0.910568
4.66	0.91233
4.67	0.914093
4.68	0.915856
4.69	0.91762
4.7	0.919384
4.71	0.921148
4.72	0.922912
4.73	0.924677
4.74	0.926443
4.75	0.928209
4.76	0.929975
4.77	0.931741
4.78	0.933508
4.79	0.935276
4.8	0.937043
4.81	0.938811
4.82	0.940579
4.83	0.942348
4.84	0.944117
4.85	0.945887
4.86	0.947656
4.87	0.949426
4.88	0.951197
4.89	0.952968
4.9	0.954739
4.91	0.95651
4.92	0.958282
4.93	0.960054
4.94	0.961826
4.95	0.963599
