# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.768217
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Fe_sg229_Iron-alpha.ncmat
# wavelength[A]	sigma_tot[1/cm]
3.89	1.67765
3.9	1.68467
3.91	1.6917
3.92	1.69874
3.93	1.7058
3.94	1.71288
3.95	1.71997
3.96	1.72708
3.97	1.73421
3.98	1.74135
3.99	1.7485
4	1.75567
4.01	1.76286
4.02	1.77006
4.03	1.77728
4.04	1.78451
4.05	1.79176
4.06	0.562933
4.07	0.564117
4.08	0.565301
4.09	0.566486
4.1	0.567671
4.11	0.568857
4.12	0.570043
4.13	0.57123
4.14	0.572418
4.15	0.573606
4.16	0.574795
4.17	0.575984
4.18	0.577173
4.19	0.578363
4.2	0.579554
4.21	0.580745
4.22	0.581937
4.23	0.583129
4.24	0.584322
4.25	0.585515
4.26	0.586709
4.27	0.587903
4.28	0.589097
4.29	0.590292
4.3	0.591488
4.31	0.592684
4.32	0.59388
4.33	0.595077
4.34	0.596275
4.35	0.597473
4.36	0.598671
4.37	0.599869
4.38	0.601069
4.39	0.602268
4.4	0.603468
4.41	0.604669
4.42	0.605869
4.43	0.607071
4.44	0.608272
4.45	0.609474
4.46	0.610677
4.47	0.61188
4.48	0.613083
4.49	0.614287
4.5	0.615491
4.51	0.616695
4.52	0.6179
4.53	0.619105
4.54	0.620311
4.55	0.621517
4.56	0.622723
4.57	0.62393
4.58	0.625137
4.59	0.626344
4.6	0.627552
4.61	0.62876
4.62	0.629968
4.63	0.631177
4.64	0.632386
4.65	0.633596
4.66	0.634806
4.67	0.636016
4.68	0.637227
4.69	0.638437
4.7	0.639649
4.71	0.64086
4.72	0.642072
4.73	0.643284
4.74	0.644497
4.75	0.645709
4.76	0.646922
4.77	0.648136
4.78	0.64935
4.79	0.650564
4.8	0.651778
4.81	0.652993
4.82	0.654207
4.83	0.655423
4.84	0.656638
4.85	0.657854
4.86	0.65907
4.87	0.660286
4.88	0.661503
4.89	0.66272
4.9	0.663937
4.91	0.665155
4.92	0.666373
4.93	0.667591
4.94	0.668809
4.95	0.670027
4.96	0.671246
4.97	0.672465
4.98	0.673685
4.99	0.674904
5	0.676124
5.01	0.677344
5.02	0.678565
5.03	0.679785
5.04	0.681006
5.05	0.682227
5.06	0.683449
5.07	0.68467
5.08	0.685892
5.09	0.687114
5.1	0.688337
5.11	0.689559
5.12	0.690782
5.13	0.692005
5.14	0.693228
5.15	0.694452
5.16	0.695676
5.17	0.6969
5.18	0.698124
5.19	0.699348
5.2	0.700573
5.21	0.701798
5.22	0.703023
5.23	0.704248
5.24	0.705474
5.25	0.706699
5.26	0.707925
5.27	0.709151
5.28	0.710378
5.29	0.711604
5.3	0.712831
5.31	0.714058
5.32	0.715285
5.33	0.716512
5.34	0.71774
5.35	0.718968
5.36	0.720195
5.37	0.721424
5.38	0.722652
5.39	0.72388
5.4	0.725109
5.41	0.726338
5.42	0.727567
5.43	0.728796
5.44	0.730026
5.45	0.731255
5.46	0.732485
5.47	0.733715
5.48	0.734945
5.49	0.736176
5.5	0.737406
5.51	0.738637
