# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:48.218523
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Mg_sg194.ncmat
# wavelength[A]	sigma_tot[1/cm]
3.9	0.14145
3.91	0.142059
3.92	0.142669
3.93	0.143282
3.94	0.143896
3.95	0.144511
3.96	0.145129
3.97	0.145748
3.98	0.146369
3.99	0.146991
4	0.147615
4.01	0.148241
4.02	0.148869
4.03	0.149499
4.04	0.15013
4.05	0.150763
4.06	0.151397
4.07	0.152034
4.08	0.152672
4.09	0.153311
4.1	0.153953
4.11	0.154596
4.12	0.155241
4.13	0.155887
4.14	0.156536
4.15	0.157186
4.16	0.157837
4.17	0.158491
4.18	0.159146
4.19	0.159803
4.2	0.160461
4.21	0.161121
4.22	0.161783
4.23	0.162446
4.24	0.163112
4.25	0.163779
4.26	0.164447
4.27	0.165117
4.28	0.165789
4.29	0.166463
4.3	0.167138
4.31	0.167815
4.32	0.168494
4.33	0.169174
4.34	0.169856
4.35	0.17054
4.36	0.171225
4.37	0.171912
4.38	0.172601
4.39	0.173291
4.4	0.173983
4.41	0.174677
4.42	0.175372
4.43	0.176069
4.44	0.176768
4.45	0.177468
4.46	0.17817
4.47	0.178874
4.48	0.179579
4.49	0.180286
4.5	0.180994
4.51	0.181705
4.52	0.182416
4.53	0.18313
4.54	0.183845
4.55	0.184562
4.56	0.185281
4.57	0.186001
4.58	0.186722
4.59	0.187446
4.6	0.188171
4.61	0.188898
4.62	0.189626
4.63	0.190356
4.64	0.191088
4.65	0.191821
4.66	0.192556
4.67	0.193292
4.68	0.19403
4.69	0.19477
4.7	0.195512
4.71	0.196255
4.72	0.196999
4.73	0.197746
4.74	0.198494
4.75	0.199243
4.76	0.199994
4.77	0.200747
4.78	0.201502
4.79	0.202258
4.8	0.203016
4.81	0.203775
4.82	0.204536
4.83	0.205299
4.84	0.206063
4.85	0.206829
4.86	0.207596
4.87	0.208365
4.88	0.209136
4.89	0.209908
4.9	0.210682
4.91	0.0828946
4.92	0.0831476
4.93	0.0834011
4.94	0.0836551
4.95	0.0839097
4.96	0.0841649
4.97	0.0844206
4.98	0.0846768
4.99	0.0849336
5	0.0851909
5.01	0.0854488
5.02	0.0857072
5.03	0.0859661
5.04	0.0862256
5.05	0.0864857
5.06	0.0867463
5.07	0.0870074
5.08	0.087269
5.09	0.0875312
5.1	0.087794
5.11	0.0880572
5.12	0.088321
5.13	0.0885854
5.14	0.0888503
5.15	0.0891157
5.16	0.0893816
5.17	0.0896481
5.18	0.0899151
5.19	0.0901827
5.2	0.0904508
5.21	0.0907194
5.22	0.0562835
5.23	0.0564201
5.24	0.056557
