# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.746800
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Phase alpha: Fe_sg229_Iron-alpha.ncmat, 50%
# wavelength[A]	sigma_tot[1/cm]
3.89	1.46704
3.9	1.47294
3.91	1.47885
3.92	1.48477
3.93	1.4907
3.94	1.49665
3.95	1.50261
3.96	1.50859
3.97	1.51457
3.98	1.52057
3.99	1.52659
4	1.53261
4.01	1.53865
4.02	1.5447
4.03	1.55077
4.04	1.55685
4.05	1.56294
4.06	0.950996
4.07	0.954064
4.08	0.957139
4.09	0.960219
4.1	0.963304
4.11	0.966394
4.12	0.969491
4.13	0.972592
4.14	0.975699
4.15	0.978811
4.16	0.981929
4.17	0.985053
4.18	0.988181
4.19	0.991315
4.2	0.994455
4.21	0.997599
4.22	1.00075
4.23	0.580606
4.24	0.581763
4.25	0.582921
4.26	0.58408
4.27	0.585239
4.28	0.586398
4.29	0.587559
4.3	0.588719
4.31	0.589881
4.32	0.591043
4.33	0.592206
4.34	0.593369
4.35	0.594533
4.36	0.595697
4.37	0.596862
4.38	0.598027
4.39	0.599193
4.4	0.60036
4.41	0.601527
4.42	0.602695
4.43	0.603863
4.44	0.605032
4.45	0.606201
4.46	0.607371
4.47	0.608541
4.48	0.609712
4.49	0.610883
4.5	0.612055
4.51	0.613227
4.52	0.6144
4.53	0.615573
4.54	0.616747
4.55	0.617922
4.56	0.619096
4.57	0.620271
4.58	0.621447
4.59	0.622623
4.6	0.6238
4.61	0.624977
4.62	0.626155
4.63	0.627333
4.64	0.628511
4.65	0.62969
4.66	0.630869
4.67	0.632049
4.68	0.633229
4.69	0.63441
4.7	0.635591
4.71	0.636772
4.72	0.637954
4.73	0.639136
4.74	0.640319
4.75	0.641502
4.76	0.642686
4.77	0.643869
4.78	0.645054
4.79	0.646238
4.8	0.647423
4.81	0.648609
4.82	0.649795
4.83	0.650981
4.84	0.652168
4.85	0.653355
4.86	0.654542
4.87	0.65573
4.88	0.656918
4.89	0.658106
4.9	0.659295
4.91	0.660484
4.92	0.661674
4.93	0.662864
4.94	0.664054
4.95	0.665244
4.96	0.666435
4.97	0.667626
4.98	0.668818
4.99	0.67001
5	0.671202
5.01	0.672395
5.02	0.673588
5.03	0.674781
5.04	0.675974
5.05	0.677168
5.06	0.678362
5.07	0.679557
5.08	0.680752
5.09	0.681947
5.1	0.683142
5.11	0.684338
5.12	0.685534
5.13	0.68673
5.14	0.687927
5.15	0.689124
5.16	0.690321
5.17	0.691519
5.18	0.692716
5.19	0.693915
5.2	0.695113
5.21	0.696312
5.22	0.69751
5.23	0.69871
5.24	0.699909
5.25	0.701109
5.26	0.702309
5.27	0.703509
5.28	0.70471
5.29	0.705911
5.3	0.707112
5.31	0.708313
5.32	0.709515
5.33	0.710717
5.34	0.711919
5.35	0.713121
5.36	0.714324
5.37	0.715527
5.38	0.71673
5.39	0.717933
5.4	0.719137
5.41	0.720341
5.42	0.721545
5.43	0.722749
5.44	0.723954
5.45	0.725158
5.46	0.726363
5.47	0.727569
5.48	0.728774
5.49	0.72998
5.5	0.731186
5.51	0.732392
