# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:48.404805
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Ni_sg225.ncmat
# wavelength[A]	sigma_tot[1/cm]
3.9	2.47734
3.91	2.48495
3.92	2.49258
3.93	2.50022
3.94	2.50788
3.95	2.51555
3.96	2.52324
3.97	2.53094
3.98	2.53866
3.99	2.54639
4	2.55413
4.01	2.56189
4.02	2.56967
4.03	2.57746
4.04	2.58526
4.05	2.59308
4.06	2.60091
4.07	1.47095
4.08	1.47321
4.09	1.47548
4.1	1.47775
4.11	1.48001
4.12	1.48228
4.13	1.48455
4.14	1.48682
4.15	1.48909
4.16	1.49136
4.17	1.49363
4.18	1.49591
4.19	1.49818
4.2	1.50046
4.21	1.50273
4.22	1.50501
4.23	1.50728
4.24	1.50956
4.25	1.51184
4.26	1.51412
4.27	1.5164
4.28	1.51868
4.29	1.52096
4.3	1.52324
4.31	1.52553
4.32	1.52781
4.33	1.53009
4.34	1.53238
4.35	1.53466
4.36	1.53695
4.37	1.53924
4.38	1.54152
4.39	1.54381
4.4	1.5461
4.41	1.54839
4.42	1.55068
4.43	1.55297
4.44	1.55526
4.45	1.55755
4.46	1.55985
4.47	1.56214
4.48	1.56443
4.49	1.56673
4.5	1.56902
4.51	1.57132
4.52	1.57362
4.53	1.57591
4.54	1.57821
4.55	1.58051
4.56	1.58281
4.57	1.58511
4.58	1.58741
4.59	1.58971
4.6	1.59201
4.61	1.59431
4.62	1.59661
4.63	1.59891
4.64	1.60122
4.65	1.60352
4.66	1.60582
4.67	1.60813
4.68	1.61043
4.69	1.61274
4.7	1.61504
4.71	1.61735
4.72	1.61966
4.73	1.62196
4.74	1.62427
4.75	1.62658
4.76	1.62889
4.77	1.6312
4.78	1.63351
4.79	1.63582
4.8	1.63813
4.81	1.64044
4.82	1.64275
4.83	1.64507
4.84	1.64738
4.85	1.64969
4.86	1.65201
4.87	1.65432
4.88	1.65663
4.89	1.65895
4.9	1.66126
4.91	1.66358
4.92	1.6659
4.93	1.66821
4.94	1.67053
4.95	1.67285
4.96	1.67516
4.97	1.67748
4.98	1.6798
4.99	1.68212
5	1.68444
5.01	1.68676
5.02	1.68908
5.03	1.6914
5.04	1.69372
5.05	1.69604
5.06	1.69836
5.07	1.70069
5.08	1.70301
5.09	1.70533
5.1	1.70765
5.11	1.70998
5.12	1.7123
5.13	1.71462
5.14	1.71695
5.15	1.71927
5.16	1.7216
5.17	1.72392
5.18	1.72625
5.19	1.72858
5.2	1.7309
5.21	1.73323
5.22	1.73556
5.23	1.73789
5.24	1.74021
5.25	1.74254
5.26	1.74487
5.27	1.7472
5.28	1.74953
5.29	1.75186
5.3	1.75419
5.31	1.75652
5.32	1.75885
5.33	1.76118
5.34	1.76351
5.35	1.76584
5.36	1.76817
5.37	1.77051
5.38	1.77284
5.39	1.77517
5.4	1.7775
5.41	1.77984
5.42	1.78217
5.43	1.7845
5.44	1.78684
5.45	1.78917
5.46	1.79151
5.47	1.79384
5.48	1.79618
5.49	1.79851
5.5	1.80085
5.51	1.80318
